"tlaID","wikidataID","transliterationLUT","hieroglyphs","lexicalCategoryID","lexicalCategory","additionalLexicalCategoryID","additionalLexicalCategory","genderID","gender","referentTypeID","referentType","senses","sensesLanguage"
"10030","L1380040","=ꞽ","𓀀","Q36224","pronoun","Q468801","personal pronoun","","","","","I; me; my, mine (suffix pron., 1st per. sing.)","EN"
"42370","L1381733","=w","𓅱𓏪","Q36224","pronoun","Q468801","personal pronoun","","","","","they; them; their (suffix pron., 3rd per. pl.)","EN"
"851168","L1395731","=wꞽ","𓅱𓏭","Q36224","pronoun","Q468801","personal pronoun","","","","","[suffix pron. sing. 1. c. (after n.tj)]","EN"
"10050","L1380029","=f","𓆑","Q36224","pronoun","Q468801","personal pronoun","","","","","he; him; his (suffix pron., 3rd. per. masc. sing.)","EN"
"851172","L1391506","=fï","𓆑𓏭","Q36224","pronoun","Q468801","personal pronoun","","","","","[suffix pron. sing. 3. m. (verbal adj.)]","EN"
"10060","L1380982","=fï","𓆑𓏭","Q36224","pronoun","Q468801","personal pronoun","","","","","his; its (suffix pron., 3rd per. masc. sing. after dual nouns)","EN"
"10070","L1380001","=n","𓈖𓏥","Q36224","pronoun","Q468801","personal pronoun","","","","","we; us; our (suffix pron., 1st per. pl.)","EN"
"10080","L1394686","=nï","𓈖𓇋","Q36224","pronoun","Q468801","personal pronoun","","","","","we two; us two; both our (suffix pron., 1st per. dual)","EN"
"10090","L1380187","=s","𓋴","Q36224","pronoun","Q468801","personal pronoun","","","","","she; her; hers (suffix pron. 3rd per. fem. sing.)","EN"
"851174","L1394176","=sï","","Q36224","pronoun","Q468801","personal pronoun","","","","","[suffix pron. sing. 3. f. (verbal adj.)]","EN"
"127780","L1391747","=sï","𓋴𓏭","Q36224","pronoun","Q468801","personal pronoun","","","","","[suffix pron. sing. 3. f. after the dual]","EN"
"851180","L1386449","=sn","","Q36224","pronoun","Q468801","personal pronoun","","","","","[suffix pron. sing. 3. c. (verbal adj.)]","EN"
"10100","L1380192","=sn","𓋴𓈖𓏥","Q36224","pronoun","Q468801","personal pronoun","","","","","they; them; their (suffix pron., 3rd per. pl.)","EN"
"136620","L1391424","=snï","𓋴𓈖𓇋","Q36224","pronoun","Q468801","personal pronoun","","","","","[suffix pron. dual. 3. c.]","EN"
"10110","L1379911","=k","𓎡","Q36224","pronoun","Q468801","personal pronoun","","","","","you; your; yours (suffix pron., 2nd per. masc. sing.)","EN"
"851169","L1391556","=kï","𓎡𓏭","Q36224","pronoun","Q468801","personal pronoun","","","","","[suffix pron. sing. 2. m. after the dual]","EN"
"851175","L1391697","=tꞽ","","Q36224","pronoun","Q468801","personal pronoun","","","","","[suffix pron. sing. 3. c.]","EN"
"170100","L1381600","=tw","𓏏𓅱","Q36224","pronoun","Q468801","personal pronoun","","","","","one; one's (suffix pron., 3rd per. sing.)","EN"
"851167","L1386591","=tw","","Q36224","pronoun","Q468801","personal pronoun","","","","","[suffix pron. sing. 1. c.]","EN"
"851171","L1392005","=twf","","Q36224","pronoun","Q468801","personal pronoun","","","","","[suffix pron. dual. 3. m.]","EN"
"851178","L1392006","=twtn","","Q36224","pronoun","Q468801","personal pronoun","","","","","[suffix pron. pl. 2. c.]","EN"
"10120","L1381718","=ṯ","𓍿","Q36224","pronoun","Q468801","personal pronoun","","","","","[suffix pron. sing. 2. f.]","EN"
"873245","L1397132","=ṯï","","Q36224","pronoun","Q468801","personal pronoun","","","","","[suffix pron. sing. 2. f. after the dual]","EN"
"851170","L1383875","=ṯn","𓍿𓈖","Q36224","pronoun","Q468801","personal pronoun","","","","","[suffix pron. sing. 2. f.]","EN"
"10130","L1381708","=ṯn","𓍿𓈖𓏥","Q36224","pronoun","Q468801","personal pronoun","","","","","you; your; yours (suffix pron., 2nd per. pl.)","EN"
"175720","L1391599","=ṯnï","𓍿𓈖𓏭","Q36224","pronoun","Q468801","personal pronoun","","","","","you two (suffix pron., 2nd person dual)","EN"
"850814","L1396523","1...n","","Q63116","numeral","Q1329258","cardinal numeral","","","","","[cardinal number in writing whole numbers and fractions]","EN"
"600235","L1386395","2...10000.nw","","Q63116","numeral","Q923933","ordinal numeral","","","","","[ordinal number in numerical writing with the ending -nw]","EN"
"1","L1390001","ꜣ","𓄿","Q1084","noun","","","Q499327","masculine","","","vulture; bird (gen.)","EN"
"3","L1383180","ꜣ","𓄿","Q184943","grammatical particle","","","","","","","[negative particle]","EN"
"2","L1382135","ꜣ","𓄿","Q184943","grammatical particle","Q213458","clitic","","","","","[enclitic particle with exclamatory force]","EN"
"5","L1381981","ꜣ.t","𓄿𓏏𓄁𓇳","Q1084","noun","","","Q1775415","feminine","","","moment; instant; time (gen.)","EN"
"6","L1382394","ꜣ.t","𓄿𓏏𓄇","Q1084","noun","","","Q1775415","feminine","","","strength","EN"
"7","L1387620","ꜣꜣ","𓄿𓄿𓈇𓏤","Q1084","noun","","","Q499327","masculine","","","mound (of ruins?)","EN"
"8","L1390033","ꜣꜣtꜣ","𓄿𓄿𓏏𓄿𓂡𓀐","Q1084","noun","","","","","","","[a Nubian chieftain (?)]; [a proper name (?)]","EN"
"10","L1394457","ꜣꞽ.wï","𓄿𓇋𓅱𓏭𓍢𓍢","Q1084","noun","","","Q499327","masculine","","","pair of bandages (med.)","EN"
"9","L1396410","ꜣꞽw","","Q1084","noun","","","","","","","[atmospheric phenomenon (a gust of wind?)]","EN"
"13","L1391815","ꜣꞽs","𓄿𓇋𓋴𓐏","Q1084","noun","","","Q499327","masculine","","","brain; viscera","EN"
"14","L1381084","ꜣyt","","Q24905","verb","","","","","","","to blanch","EN"
"400964","L1391262","ꜣꜥ","","Q24905","verb","","","","","","","to be afraid (?)","EN"
"17","L1390034","ꜣꜥꜥ","𓄿𓂝𓂝𓂡","Q24905","verb","","","","","","","to injure; to blame","EN"
"16","L1384064","ꜣꜥꜥ","𓄿𓂝𓂝𓈇𓀜","Q24905","verb","","","","","","","to coat with plaster; to repair","EN"
"21","L1393904","ꜣꜥꜥ","","Q1084","noun","","","Q499327","masculine","","","[a tree]","EN"
"22","L1390035","ꜣꜥꜥ.w","𓄿𓂝𓂝𓅱𓂻𓏪","Q1084","noun","","","Q499327","masculine","","","approach(ing) (in an epithet of the sun god)","EN"
"24","L1388530","ꜣꜥꜥ.t","𓄿𓂝𓂝𓏏𓎵","Q1084","noun","","","Q1775415","feminine","","","container; jar (gen.)","EN"
"26","L1393902","ꜣꜥw","𓄿𓂝𓅱𓎧","Q1084","noun","","","Q499327","masculine","","","(leather) bag","EN"
"35280","L1396912","ꜣꜥw-n-smꞽ","𓄿𓂝𓅱𓈖𓋴𓏇𓇋","Q1084","noun","","","Q499327","masculine","","","étui with toilette utensils","EN"
"28","L1388529","ꜣꜥb.t","𓄿𓂝𓃀𓏏𓅪","Q1084","noun","","","Q1775415","feminine","","","oppression","EN"
"30","L1393903","Ꜣꜥz","𓄿𓂝𓊃𓉻","Q1084","noun","","","Q499327","masculine","","","[ankh-shaped implement (weapon?)]","EN"
"400588","L1382943","ꜣw","𓄫𓅱","Q34698","adjective","","","","","","","long","EN"
"32","L1386071","ꜣw","𓄫𓅱𓀏𓏪","Q1084","noun","","","Q499327","masculine","","","death","EN"
"31","L1380185","ꜣw","𓄫𓅱𓏛","Q1084","noun","","","Q499327","masculine","","","length","EN"
"858947","L1391258","ꜣw","","Q24905","verb","","","","","","","to be dead","EN"
"863783","L1393893","ꜣw","","Q1084","noun","","","Q499327","masculine","","","dead one","EN"
"39","L1382352","ꜣw.t","𓄫𓅱𓏏𓈀𓏥","Q1084","noun","","","Q1775415","feminine","","","gift(s); offering(s)","EN"
"37","L1382610","ꜣw.t","𓄫𓅱𓏏𓏛","Q1084","noun","","","Q1775415","feminine","","","length; span","EN"
"42","L1391365","ꜣw.t-ꞽb","𓄫𓅱𓏏𓏛𓄣","Q1084","noun","","","","","","","joy","EN"
"45","L1395321","ꜣw.t-ꞽb","𓄫𓅱𓏏𓏛𓏥𓄣𓏤𓈒𓏥","Q1084","noun","","","Q1775415","feminine","","","realgar (a pigment)","EN"
"44","L1395358","ꜣw.t-ꞽb","𓄫𓏏𓄣","Q1084","noun","","","","","","","Joy (an amulet)","EN"
"862843","L1397202","Ꜣw.t-ꞽb-Rꜥw","","Q147276","proper noun","Q115642102","royal name","","","","","[Thronname Hors]; Aut-ib-Re","DE"
"46","L1385531","ꜣw.t-ꜥ","𓄫𓅱𓏏𓂝𓏤","Q1084","noun","","","","","","","gift(s)","EN"
"48","L1393895","ꜣw.t-ḏr.t","","Q1084","noun","","","","","","","gift; deed of gift","EN"
"41","L1395131","Ꜣw.tï","𓄫𓏲𓏏𓉐","Q1084","noun","","","","","","","Awety (hidden chamber in a temple)","EN"
"851904","L1389067","ꜣw-ḥr","","Q1084","noun","","","Q499327","masculine","","","the happy one (?); the farsighted one (?)","EN"
"36","L1388527","ꜣw-ḏr.t","𓄫𓅱𓀜𓂧𓏏𓏤","Q34698","adjective","","","","","","","generous","EN"
"858406","L1393900","ꜣwꜣw","","Q24905","verb","","","","","","","to be elongated","EN"
"856494","L1396911","ꜣwꜣw.tï","","Q1084","noun","","","Q499327","masculine","","","[personal designation]","EN"
"49","L1383082","ꜣwi̯","𓄫𓅱","Q24905","verb","","","","","","","to extend; to be extended (in width, in length)","EN"
"55","L1384976","ꜣwr","𓄫𓅱𓂋𓀁","Q24905","verb","","","","","","","to tremble","EN"
"856496","L1393898","ꜣwr","","Q1084","noun","","","Q499327","masculine","","","tremble, trembling","EN"
"56","L1393896","ꜣwḥ","𓄫𓅱𓎛𓀜","Q24905","verb","","","","","","","to drive out; to drive away","EN"
"10260","L1393897","ꜣwḫ","𓄫𓅱𓐍𓂡","Q24905","verb","","","","","","","to serve (someone)","EN"
"58","L1393899","ꜣwš","𓄫𓏲𓆷𓈓","Q1084","noun","","","Q499327","masculine","","","[a gold-colored, aromatic (?) substance from Punt]","EN"
"59","L1386412","ꜣwtwkrtr","","Q1084","noun","","","","","","","autocrator","EN"
"875240","L1395776","Ꜣwtwkrtr-Kysrs","","Q147276","proper noun","Q115642102","royal name","","","","","Autokrator Caesar","DE"
"875432","L1396489","Ꜣwtwkrtr-Kysrs-Tmtyns-mr-Ꜣs.t","","Q147276","proper noun","Q115642102","royal name","","","","","[Eigenname Domitians]","DE"
"10270","L1387610","ꜣb","𓋁𓃀𓌟𓏤𓄹","Q1084","noun","","","Q499327","masculine","","","fingernail","EN"
"72","L1382370","ꜣb","𓍋𓃀𓂻","Q24905","verb","","","","","","","to cease; to avoid; to tarry","EN"
"74","L1391793","ꜣb.y","𓍋𓃀𓇋𓇋𓃮","Q1084","noun","","","Q499327","masculine","","","leopard","EN"
"76","L1396408","ꜣb.y-mḥ.wï","𓍋𓃀𓇋𓇋𓄜𓇉","Q1084","noun","","","","","","","cheetah","EN"
"77","L1394545","ꜣb.y-šmꜥ.ï","𓍋𓃀𓇋𓇋𓄜𓇗","Q1084","noun","","","Q499327","masculine","","","leopard","EN"
"10340","L1386628","ꜣb.w","","Q1084","noun","","","Q499327","masculine","","","wish(es); vow","EN"
"79","L1383256","ꜣb.w","𓍋𓃀𓅱𓂻","Q1084","noun","","","Q499327","masculine","","","cessation","EN"
"61","L1390006","ꜣb.w","𓍋𓃀𓊮","Q1084","noun","","","Q499327","masculine","","","brand; branding iron","EN"
"84","L1383072","ꜣb.wt","𓍋𓃀𓅱𓏏𓀾","Q1084","noun","","","Q1775415","feminine","","","appearance; aspect","EN"
"857917","L1387304","ꜣb.wt-nṯr","","Q1084","noun","","","Q1775415","feminine","","","garment; [relic]","EN"
"67","L1383320","ꜣb.t","𓍋𓃀𓏏𓀀𓁐𓏪","Q1084","noun","","","Q1775415","feminine","","","family","EN"
"66","L1391233","ꜣb.t","","Q1084","noun","","","Q1775415","feminine","","","brand","EN"
"88","L1396197","ꜣb.tïw","","Q1084","noun","","","Q499327","masculine","","","household; family member","EN"
"10310","L1390010","ꜣbꜣb","𓍋𓃀𓍋𓃀𓀁","Q24905","verb","","","","","","","to be delighted","EN"
"73","L1382200","ꜣbi̯","𓍋𓃀𓀁","Q24905","verb","","","","","","","to wish for; to covet","EN"
"75","L1395319","ꜣbꞽ.t","𓍋𓃀𓇋𓏏𓃮","Q1084","noun","","","Q1775415","feminine","","","leopard","EN"
"60","L1384367","ꜣbu̯","𓍋𓃀𓊮","Q24905","verb","","","","","","","to brand (cattle, slaves)","EN"
"81","L1382205","Ꜣbw","𓍋𓃀𓃰𓅱𓎶𓈉","Q147276","proper noun","Q7884789","toponym","","","","","Elephantine","EN"
"80","L1384596","ꜣbw","𓍋𓃀𓅱𓃰","Q1084","noun","","","Q499327","masculine","","","elephant","EN"
"63","L1384033","ꜣbw","𓍋𓃀𓅱𓄑","Q1084","noun","","","Q499327","masculine","","","tusk; ivory","EN"
"82","L1390009","ꜣbw","𓍋𓃀𓅱𓈒𓏥","Q1084","noun","","","Q499327","masculine","","","[a med. substance]","EN"
"65","L1393853","ꜣbw","","Q1084","noun","","","Q499327","masculine","","","[a measure of length]","EN"
"856353","L1396906","ꜣbw.ï","","Q1084","noun","","","Q499327","masculine","","","inhabitant of Elephantine","EN"
"83","L1393854","ꜣbw-mw","","Q1084","noun","","","Q499327","masculine","","","rhinoceros","EN"
"85","L1388520","ꜣbb","𓍋𓃀𓃀𓏯𓂻","Q24905","verb","","","","","","","to separate; to move away; to keep apart","EN"
"86","L1393851","ꜣbnn","𓍋𓃀𓇑𓇑𓈖𓈖𓆟𓊾","Q1084","noun","","","Q499327","masculine","","","[a fish]","EN"
"87","L1390008","ꜣbnn","𓍋𓃀𓈖𓏭𓈖𓏭𓅬","Q1084","noun","","","Q499327","masculine","","","[a bird]","EN"
"856448","L1393850","ꜣbḥ.w","","Q1084","noun","","","Q499327","masculine","","","[plant]","EN"
"89","L1383265","ꜣbḫ","𓍋𓃀𓐍𓏴","Q24905","verb","","","","","","","to mix; to join; to be merged with","EN"
"359","L1393848","ꜣbḫ","","Q24905","verb","","","","","","","to burn; to cook","EN"
"450623","L1391234","ꜣbḫ","","Q1084","noun","","","Q499327","masculine","","","linker","EN"
"856354","L1393849","ꜣbḫ","","Q1084","noun","","","Q499327","masculine","","","[personal designation]","EN"
"92","L1390007","ꜣbḫ.t","𓍋𓃀𓐍𓏏<g>X9</g>𓂝𓎵","Q1084","noun","","","Q1775415","feminine","","","[a med. liquid]","EN"
"93","L1381188","ꜣbd","𓄿𓇹𓂧𓅱","Q1084","noun","","","Q499327","masculine","","","month","EN"
"884318","L1389062","ꜣbd","","Q1084","noun","","","Q499327","masculine","","","Monatspriester","DE"
"94","L1382125","Ꜣbd.w","𓇹𓇼𓂧𓎱","Q147276","proper noun","","","","","Q16686448","artificial object","Abedu (festival on the 2nd day of the lunar month)","EN"
"97","L1393845","ꜣbd.w","𓇹𓇼𓂧𓏏𓅱","Q34698","adjective","","","","","","","monthly","EN"
"98","L1393847","ꜣbd-n-hrw","𓇹𓇼𓂧𓇳𓈖𓉔𓂋𓏲𓇳","Q1084","noun","","","","","","","(lunar) month","EN"
"104","L1393846","ꜣbḏ.w","𓍋𓃀𓂧𓈋𓊖𓀀𓁐","Q1084","noun","","","Q499327","masculine","","","Abydenes (those who live at Abydos)","EN"
"102","L1382681","ꜣbḏ.w","𓍋𓃀𓈋𓅱𓆝","Q1084","noun","","","Q499327","masculine","","","[a fish]","EN"
"103","L1381947","Ꜣbḏ.w","𓍋𓃀𓈋𓊖","Q147276","proper noun","Q7884789","toponym","","","","","Abydos","EN"
"110","L1384975","ꜣpd","𓄿𓊪𓂧𓂻","Q24905","verb","","","","","","","to rush forward","EN"
"107","L1380520","ꜣpd","𓄿𓊪𓂧𓅬","Q1084","noun","","","Q499327","masculine","","","bird (gen.); fowl","EN"
"113","L1393877","ꜣpd.w-n-mw","","Q1084","noun","","","","","","","waterfowl","EN"
"114","L1393876","ꜣpd.w-gnẖ-p.t","","Q1084","noun","","","","","","","[birds in the heavens]","EN"
"115","L1390028","ꜣpd.wt","𓄿𓊪𓂧𓏏𓅱","Q1084","noun","","","Q1775415","feminine","","","fowl","EN"
"860530","L1396909","ꜣpd-ꞽb","","Q1084","noun","","","Q499327","masculine","","","[wine]","EN"
"112","L1386676","ꜣpd-ꜥšꜣ","","Q1084","noun","","","","","","","(common) birds","EN"
"117","L1388522","ꜣfꜣf","𓄿𓆑𓄿𓆑𓀢","Q24905","verb","","","","","","","to adore; to praise","EN"
"10420","L1393858","ꜣfꜣf","","Q24905","verb","","","","","","","to gorge oneself","EN"
"859030","L1391237","ꜣfꜣf","","Q1084","noun","","","Q499327","masculine","","","[plant]","EN"
"119","L1387055","ꜣfi̯","","Q24905","verb","","","","","","","to gorge oneself","EN"
"120","L1396343","ꜣfy.t","","Q1084","noun","","","Q1775415","feminine","","","warmth; heat","EN"
"121","L1390011","ꜣfꜥ","𓄿𓆑𓂝𓃘","Q1084","noun","","","Q499327","masculine","","","gluttony","EN"
"122","L1390012","ꜣfꜥ","𓄿𓆑𓂝𓃘","Q1084","noun","","","Q499327","masculine","","","glutton","EN"
"851320","L1388521","ꜣfr","𓄿𓆑𓂋𓊮","Q24905","verb","","","","","","","to heat up (sth.); to cook; to boil","EN"
"862923","L1391236","ꜣfd","","Q1084","noun","","","Q499327","masculine","","","[part of the leg]","EN"
"128","L1381316","ꜣm","𓄿𓅓𓊮","Q24905","verb","","","","","","","to burn; to burn up","EN"
"131","L1389066","ꜣm","","Q24905","verb","","","","","","","to mutilate; to destroy","EN"
"142","L1385147","ꜣm.w","𓄿𓅓𓅱𓊮𓏪","Q1084","noun","","","Q499327","masculine","","","(scorching) heat; flame","EN"
"143","L1388524","ꜣm.wt","𓄿𓅓𓏏𓅱𓊮𓏪","Q1084","noun","","","","","","","burning","EN"
"134","L1393875","ꜣm.t","","Q1084","noun","","","Q1775415","feminine","","","[a sweet-smelling vegetal substance]","EN"
"136","L1391527","ꜣmꞽ","𓄿𓏇𓇋𓀜","Q24905","verb","","","","","","","to mix","EN"
"138","L1390027","ꜣmꜥ","𓄿𓅓𓂝𓅬","Q1084","noun","","","Q499327","masculine","","","[a perching bird]","EN"
"139","L1384688","ꜣmꜥ.t","𓄿𓅓𓂝𓏏𓂡","Q1084","noun","","","Q1775415","feminine","","","ramus (of the lower jaw); forked bone","EN"
"141","L1388525","ꜣmꜥ.t","𓄿𓅓𓂝𓏏𓎵𓏥","Q1084","noun","","","Q1775415","feminine","","","[a mash (med.)]","EN"
"140","L1391250","ꜣmꜥ.t","","Q1084","noun","","","Q1775415","feminine","","","socket (for a door hinge)","EN"
"145","L1384239","ꜣmm","𓄿𓅓𓅓𓂬","Q1084","noun","","","Q499327","masculine","","","grip (?); grasp","EN"
"144","L1382495","ꜣmm","𓄿𓅓𓅓𓂬","Q24905","verb","","","","","","","to seize; to grasp","EN"
"148","L1390026","ꜣmm.w","𓄿𓅓𓅓𓅱𓂝𓏥","Q1084","noun","","","Q499327","masculine","","","gripings; spasms (gynaecological term)","EN"
"146","L1386067","ꜣmm.t","𓄿𓅓𓅓𓏏𓂬","Q1084","noun","","","Q1775415","feminine","","","grasp; grip","EN"
"150","L1382694","ꜣms","𓄿𓄟𓋴𓌄","Q1084","noun","","","Q499327","masculine","","","club; ames-scepter","EN"
"852756","L1391248","ꜣms","","Q24905","verb","","","","","","","to wield the Ames scepter","EN"
"854912","L1396516","ꜣms.y","","Q34698","adjective","Q1054545","nisba","","","","","belonging to the Ames scepter","EN"
"10440","L1391249","ꜣms.w","","Q1084","noun","","","Q499327","masculine","","","[an element of a toponym]","EN"
"152","L1391927","ꜣms-ꞽb","𓃛𓄣𓏤","Q24905","verb","","","","","","","to make glad; to be glad","EN"
"156","L1391252","ꜣr","","Q1084","noun","","","Q499327","masculine","","","need (?)","EN"
"155","L1383367","ꜣr","𓄿𓂋𓌗","Q24905","verb","","","","","","","to drive away; to oppress","EN"
"161","L1396344","ꜣry.t","𓄿𓂋𓇋𓇋𓏏𓌃","Q1084","noun","","","Q1775415","feminine","","","[a staff]","EN"
"856455","L1393885","ꜣrw.t","","Q1084","noun","","","Q1775415","feminine","","","displacement, driving off","EN"
"164","L1391253","ꜣrr","","Q1084","noun","","","Q499327","masculine","","","frustration (?)","EN"
"166","L1393886","ꜣrzwt","","Q1084","noun","","","","","","","Aristos (epithet in the cartouch of Trajan)","EN"
"167","L1393882","ꜣrk.t","","Q1084","noun","","","Q1775415","feminine","","","clay","EN"
"712164","L1393884","Ꜣrtḫšsš","𓄿𓃭𓇾𓆼𓆷𓊃𓆷","Q147276","proper noun","Q115642102","royal name","","","","","Artaxerxes","DE"
"860196","L1389065","Ꜣlksntrs","","Q147276","proper noun","Q115642102","royal name","","","","","Alexander der Große; Alexander IV.","DE"
"168","L1386066","ꜣh","𓄿𓉔𓅪","Q24905","verb","","","","","","","to be miserable; to make miserable","EN"
"174","L1382732","ꜣh.w","𓄿𓉔𓅱𓅪","Q1084","noun","","","Q499327","masculine","","","misery; pain; injury","EN"
"175","L1385146","ꜣh.w","𓄿𓉔𓅱𓅪𓀀","Q1084","noun","","","Q499327","masculine","","","sufferer; anxious one","EN"
"852304","L1391244","ꜣhm","","Q1084","noun","","","Q499327","masculine","","","[plant]","EN"
"183","L1393871","ꜣht-whnn","","Q1084","noun","","","Q499327","masculine","","","fontanelle","EN"
"181","L1384974","ꜣhd","𓄿𓉔𓂧𓀁","Q24905","verb","","","","","","","to be weak; to be exhausted","EN"
"182","L1384928","ꜣhd","𓄿𓉔𓂧𓀁","Q1084","noun","","","Q499327","masculine","","","weakness","EN"
"185","L1387201","ꜣḥ","","Q1084","noun","","","Q499327","masculine","","","field","EN"
"186","L1382977","ꜣḥ","𓄿𓎛𓏒","Q1084","noun","","","Q499327","masculine","","","[a mash]; [dough (med.)]","EN"
"856369","L1393866","ꜣḥ.w","","Q1084","noun","","","Q499327","masculine","","","inundation","EN"
"194","L1393868","ꜣḥ.wt-tftf","𓄿𓎛𓈅𓏥𓏏𓆑𓏏𓆑𓈗","Q1084","noun","","","","","","","irrigated field","EN"
"191","L1381988","ꜣḥ.t","𓄿𓎛𓏏𓈇","Q1084","noun","","","Q1775415","feminine","","","field; arable land","EN"
"192","L1393865","ꜣḥ.t-ꜣḫ.t","","Q1084","noun","","","","","","","[a field]","EN"
"193","L1393864","ꜣḥ.t-nmḥw","𓄿𓎛𓏏𓈇𓈖𓌱𓅓𓎛𓀔𓏪","Q1084","noun","","","Q1775415","feminine","","","[a field]","EN"
"190","L1388523","ꜣḥ-ḥw.t","𓄿𓎛𓌸𓉗𓏏𓉐","Q1084","noun","","","Q499327","masculine","","","tomb shaft","EN"
"196","L1387615","ꜣḥꜣḥ","𓄿𓎛𓄿𓎛𓇋","Q24905","verb","","","","","","","[verb]","EN"
"855772","L1389063","ꜣḫ","","Q1084","noun","","","Q499327","masculine","","","powerfully effective one","EN"
"203","L1381759","ꜣḫ","𓅜𓏤","Q1084","noun","","","Q499327","masculine","","","akh-spirit; glorified spirit (the deceased)","EN"
"600475","L1382030","ꜣḫ","𓅜𓐍","Q34698","adjective","","","","","","","glorious; beneficial; glorified","EN"
"200","L1386392","ꜣḫ","","Q24905","verb","","","","","","","to be glorious; to be beneficial; to be useful","EN"
"209","L1390015","ꜣḫ","𓏲𓅜𓐍𓌪","Q24905","verb","","","","","","","[verb]","EN"
"198","L1393859","ꜣḫ","","Q1084","noun","","","Q499327","masculine","","","papyrus thicket","EN"
"208","L1391240","ꜣḫ","","Q1084","noun","","","","","","","[alcoholic beverage(s) (beer, wine)]","EN"
"856256","L1393860","ꜣḫ","","Q1084","noun","","","Q499327","masculine","","","abundance","EN"
"856498","L1393861","ꜣḫ","","Q1084","noun","","","Q499327","masculine","","","flame; fire","EN"
"251","L1394458","ꜣḫ.y","𓅜𓐍𓇋𓇋𓆰𓏥","Q1084","noun","","","Q499327","masculine","","","plants","EN"
"215","L1389064","ꜣḫ.w","","Q1084","noun","","","Q499327","masculine","","","crops","EN"
"253","L1381938","ꜣḫ.w","𓅜𓐍𓅱𓏪","Q1084","noun","","","Q499327","masculine","","","(magical) power; mastery","EN"
"859981","L1387056","ꜣḫ.w-m-rʾ=sn","","Q1084","noun","","","Q499327","masculine","","","the ones who are transfigured through their speech","EN"
"216","L1381976","ꜣḫ.t","𓄿𓆷𓐍𓏏","Q1084","noun","","","Q1775415","feminine","","","akhet-season (inundation)","EN"
"230","L1390016","ꜣḫ.t","𓅜𓐍𓏏","Q1084","noun","","","Q499327","masculine","","","(crested) ibis","EN"
"218","L1383643","ꜣḫ.t","𓅜𓐍𓏏","Q1084","noun","","","Q1775415","feminine","","","akh-spirit; glorified spirit (the deceased)","EN"
"221","L1382652","ꜣḫ.t","𓅜𓐍𓏏𓁹","Q1084","noun","","","Q1775415","feminine","","","eye (of a god)","EN"
"220","L1383412","ꜣḫ.t","𓅜𓐍𓏏𓆘","Q1084","noun","","","Q1775415","feminine","","","uraeus; diadem","EN"
"227","L1381765","ꜣḫ.t","𓅜𓐍𓏏𓈀","Q1084","noun","","","Q1775415","feminine","","","horizon","EN"
"225","L1393862","ꜣḫ.t","𓅜𓐍𓏏𓈀𓏥","Q1084","noun","","","","","","","[provisions (bread)]","EN"
"228","L1382623","ꜣḫ.t","𓅜𓐍𓏏𓈅","Q1084","noun","","","Q1775415","feminine","","","field; arable land","EN"
"223","L1383569","ꜣḫ.t","𓅜𓐍𓏏𓊮","Q1084","noun","","","Q1775415","feminine","","","flame; fire","EN"
"217","L1382131","ꜣḫ.t","𓅜𓐍𓏏𓏛𓏥","Q1084","noun","","","Q1775415","feminine","","","what is glorious; what is beneficial","EN"
"226","L1391241","ꜣḫ.t","","Q1084","noun","","","","","","","[a libation vessel]","EN"
"233","L1385351","Ꜣḫ.t-Ꞽtn","𓈌𓐍𓏏𓇋𓏏𓈖𓇳","Q147276","proper noun","Q7884789","toponym","","","","","Akhetaten (lit. Horizon-of-Aten, modern Tell el-Amarna)","EN"
"235","L1393863","ꜣḫ.t-n.t-ḏꜥm","","Q1084","noun","","","","","","","Horizon-of-Djam (hindermost part of the temple)","EN"
"234","L1397064","ꜣḫ.t-nb.wï","","Q1084","noun","","","Q1775415","feminine","","","Horizon-of-the-two-lords (a palace, Edfu Temple)","EN"
"236","L1390017","Ꜣḫ.t-nḥḥ","𓈌𓐍𓏏𓎛𓇳𓎛","Q1084","noun","","","Q1775415","feminine","","","Horizon-of-eternity (metaph. for palace, temple, tomb, necropolis)","EN"
"863198","L1396198","ꜣḫ.tï","","Q1084","noun","","","Q499327","masculine","","","1st day of the Akhet season","EN"
"852800","L1392003","ꜣḫ.tï","","Q34698","adjective","Q1054545","nisba","","","","","horizon-dwelling","EN"
"853579","L1396504","ꜣḫ.tï","","Q34698","adjective","","","","","","","of the Akhet time (?)","EN"
"237","L1391526","ꜣḫ.tï","𓈌𓐍𓏏𓈀𓍘𓇋","Q1084","noun","Q207869","epithet","","","","","horizon-dweller","EN"
"858687","L1396907","ꜣḫ-ꞽb","","Q1084","noun","","","Q499327","masculine","","","happiness","EN"
"851550","L1391926","ꜣḫ-ꞽqr","𓅜𓇋𓈎𓂋","Q1084","noun","","","Q499327","masculine","","","the able transfigured one (the deceased)","EN"
"211","L1391534","Ꜣḫ-bꞽ.t","𓄿𓐍𓇇𓆤𓏏𓊖","Q147276","proper noun","Q7884789","toponym","","","","","Chemmis","EN"
"212","L1396409","Ꜣḫ-bꞽ.t","𓇇𓆤𓈘","Q1084","noun","","","","","","","Of-Chemmis (a canal)","EN"
"859980","L1386783","ꜣḫ-m-rʾ=f","","Q1084","noun","","","Q499327","masculine","","","one who is transfigured through his mouth","EN"
"856863","L1386416","Ꜣḫ-n-Ꞽtn","","Q147276","proper noun","Q115642102","royal name","","","","","Echnaton","DE"
