"tlaID","wikidataID","transliterationLUT","hieroglyphs","lexicalCategoryID","lexicalCategory","additionalLexicalCategoryID","additionalLexicalCategory","genderID","gender","referentTypeID","referentType","senses","sensesLanguage"
"168640","L1386138","gsgs","𓐝𓊃𓐝𓊃𓏴𓂡","Q24905","verb","","","","","","","to overflow","EN"
"168630","L1384627","gsgs","𓐝𓊃𓐝𓊃𓏴𓂡","Q24905","verb","","","","","","","to put in order; to regulate","EN"
"168670","L1391817","gstꞽ","𓐝𓏏𓍘𓇋𓆱","Q1084","noun","","","Q499327","masculine","","","scribe's palette","EN"
"858492","L1390242","gš","","Q24905","verb","","","","","","","to pour; to pour (something) away","EN"
"168690","L1386136","gš","𓎼𓄿𓈙𓏲𓅯𓏪","Q1084","noun","","","Q499327","masculine","","","goose","EN"
"865331","L1390243","gš","","Q1084","noun","","","Q499327","masculine","","","[vessel]","EN"
"168700","L1388008","gš","𓎼𓈙𓈘","Q1084","noun","","","Q499327","masculine","","","[body of water]","EN"
"858493","L1387134","gš","","Q1084","noun","","","Q499327","masculine","","","[dregs or lees]","EN"
"855318","L1395434","gg.ꞽ","","Q1084","noun","","","Q499327","masculine","","","[snake]","EN"
"168710","L1385801","gg.t","𓎼𓎼𓏏𓄹","Q1084","noun","","","Q1775415","feminine","","","kidneys","EN"
"856740","L1388593","ggw.w","","Q1084","noun","","","Q499327","masculine","","","the awe; the stare","EN"
"852232","L1388592","ggw.t","","Q1084","noun","","","Q1775415","feminine","","","the amazement, awe; the stare","EN"
"852231","L1386845","ggwi̯","","Q24905","verb","","","","","","","to be amazed; to stare","EN"
"168760","L1389220","gt","𓎼𓄿𓍘𓇋𓏊𓏥","Q1084","noun","","","Q499327","masculine","","","[a foreign oil]","EN"
"168770","L1389221","gt","𓎼𓄿𓍘𓇋𓏏𓏳","Q1084","noun","","","Q499327","masculine","","","[a kind of bread]","EN"
"863681","L1392237","gt.t","","Q1084","noun","","","Q1775415","feminine","","","watering place","EN"
"855234","L1388600","gṯ","","Q1084","noun","","","Q499327","masculine","","","cripple","EN"
"168780","L1388590","gḏ","","Q1084","noun","","","","","","","arms","EN"
"860687","L1390225","gḏfḏf","","Q1084","noun","","","Q499327","masculine","","","[animal]","EN"
"168810","L1381737","tʾ","𓏏","Q1084","noun","","","Q499327","masculine","","","bread (gen.)","EN"
"859242","L1393518","tʾ","","Q1084","noun","","","Q499327","masculine","","","[incense]","EN"
"885356","L1393519","tʾ-1","","Q1084","noun","","","Q499327","masculine","","","[Brot]","DE"
"885389","L1393520","tʾ-3","","Q1084","noun","","","Q499327","masculine","","","Dreikornbrot","DE"
"169000","L1385411","tʾ-ꜣšr","𓏏𓏐𓄿𓈙𓂋𓊮","Q1084","noun","","","Q499327","masculine","","","[a kind of bread]","EN"
"450512","L1391495","tʾ-ꞽm.ï-tꜣ","𓏏𓏑𓏶𓇾","Q1084","noun","","","Q499327","masculine","","","[a kind of bread]","EN"
"853155","L1391109","tʾ-ꜥꜣ","","Q1084","noun","","","Q499327","masculine","","","[a kind of bread]","EN"
"169070","L1396881","tʾ-ꜥḫï","𓏏𓏑𓏳𓉻𓏛𓐍𓏭𓏳","Q1084","noun","","","Q499327","masculine","","","[a kind of bread]","EN"
"600033","L1385486","tʾ-wr","𓏏𓅨𓂂","Q1084","noun","","","Q499327","masculine","","","[a kind of bread]","EN"
"853132","L1391082","tʾ-wḥm","","Q1084","noun","","","Q499327","masculine","","","[a kind of bread (zwieback, rusk)]","EN"
"450201","L1385383","tʾ-wt","𓏏𓏐𓏏𓏐𓏐𓅱","Q1084","noun","","","Q499327","masculine","","","[a kind of bread]","EN"
"169140","L1393564","tʾ-n-wꜥḥ","𓏏𓏐𓈖𓇹𓈒𓏥","Q1084","noun","","","Q499327","masculine","","","bread made of chufa","EN"
"450605","L1385396","tʾ-n-nbs","𓏏𓏐𓈖𓈖𓃀𓋴𓆭","Q1084","noun","","","Q499327","masculine","","","bread of Christ's thorn fruit","EN"
"856879","L1395571","tʾ-nfr-ḥꜣ.tï","","Q1084","noun","","","Q499327","masculine","","","[bread]","EN"
"169150","L1385764","tʾ-nḥr.w","𓏏𓏑𓈖𓁷𓅱𓎾","Q1084","noun","","","Q499327","masculine","","","[a kind of bread]","EN"
"169210","L1385369","tʾ-rtḥ","𓏏𓏐𓂋𓏏𓍕","Q1084","noun","","","Q499327","masculine","","","[a kind of bread]","EN"
"870824","L1393587","tʾ-rtḥ.t","","Q1084","noun","","","Q499327","masculine","","","[bread]","EN"
"168820","L1393539","tʾ-ḥnq.t","","Q1084","noun","","","Q499327","masculine","","","bread-and-beer (turtle)","EN"
"600173","L1393540","tʾ-ḥr-mw","","Q1084","noun","","","Q499327","masculine","","","[a food]","EN"
"168830","L1385462","tʾ-ḥḏ","𓏏𓏑𓌉𓇮","Q1084","noun","","","Q499327","masculine","","","white bread","EN"
"169250","L1391490","tʾ-zꞽf","𓏏𓊃𓇋𓆑𓂂","Q1084","noun","","","Q499327","masculine","","","[a kind of bread]","EN"
"854315","L1394538","tʾ-dwꜣ.wï","","Q1084","noun","","","Q499327","masculine","","","morning bread","EN"
"854573","L1386407","tꜣ","","Q1084","noun","","","Q499327","masculine","","","earth; land (as an element of the cosmos); land (as geo-pol. entity); Egypt; soil (material); arable land; land for construction; (an area measurement)","EN"
